,title,company,location,salary
0,AI Electrical / Computer Engineer,"General Technical Services, LLC","Adelphi, MD 20783",Full-time
1,"Clinical Laboratory Scientist CLS , Medical Data Scientist",Clinical Management Consultants,"Palo Alto, CA","$85,225 - $135,355 a year"
2,Senior Data Scientist,WALGREENS,"Deerfield, IL 60015",
3,Data Scientist II,Net2Source,"Los Angeles, CA 90094",$55 - $58 an hour
4,Data Scientist / Analyst,Kforce,"Juno Beach, FL 33408",$35 - $45 an hour
5,Data Scientist,Hire IT people,"Bentonville, AR 72712",$58 an hour
6,Data Scientist,Parafin,"San Francisco, CA","$150,000 - $175,000 a year"
7,IT Data Scientist,System One,"Topeka, KS 66606","$110,000 - $125,000 a year"
8,Senior Data Scientist,EarthOptics,"Remote in Arlington, VA","$99,400 - $167,000 a year"
9,Data Scientist,Fabrx Space,Remote,"$154,962 - $165,538 a year"
10,Data Scientist (Marketing),Penn Foster Group,Remote,Full-time
11,Junior Data Scientist,OGC Global,Remote,Full-time
12,Digital & Technology - Data Science - Campus Recruiting,General Mills,"Remote in Minneapolis, MN 55426","$91,000 a year"
13,Data Engineer,"The Travelers Companies, Inc.","Saint Paul, MN 55127","$113,900 - $188,000 a year"
14,Data Scientist - Pricing,Hertz,"Estero, FL 33928","$68,000 a year"
15,Digital & Technology - Data Science - Campus Recruiting,General Mills,"Remote in Minneapolis, MN 55426","$91,000 a year"
16,Data Engineer,"The Travelers Companies, Inc.","Saint Paul, MN 55127","$113,900 - $188,000 a year"
17,Data Scientist,VivusTech,"Chantilly, VA",
18,Data Scientist,FanDuel,"Hybrid remote in Jersey City, NJ",
19,Data Scientist,Bond Financial Technologies,Remote,
20,2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,"Chicago, IL 60622 
(West Town area)","$75,900 - $141,456 a year"
21,Data Scientist,Bilin Technology,"Boston, MA",
22,Data Scientist,Govini,"Pittsburgh, PA",Full-time
23,Data Scientist,Triple-S Steel,"Houston, TX 77026 
(Eastex - Jensen area)",Full-time
24,Data Scientist,Konnectingtree,Remote,"$110,000 - $113,000 a year"
25,Data Scientist,FAST GROWING TREES LLC,Remote,"$80,000 - $120,000 a year"
26,Data Scientist,Koddi,Remote,Full-time
27,Data Scientist,Vibronyx,Remote,
28,"Manager, Rapid Data Labs, Research IT Data Engineering",Bristol Myers Squibb,"Princeton, NJ",
29,Data Scientist,Enable Data,"Minneapolis, MN",
30,Digital & Technology - Data Science - Campus Recruiting,General Mills,"Remote in Minneapolis, MN 55426","$91,000 a year"
