title,company,salary_updated,environment,location_updated,salary_min,salary_max
AI Electrical / Computer Engineer,"General Technical Services, LLC",Full-time,In-Person,"Adelphi, MD",0,0
"Clinical Laboratory Scientist CLS , Medical Data Scientist",Clinical Management Consultants,85225 - 135355 ,In-Person,"Palo Alto, CA",85225,135355
Senior Data Scientist,WALGREENS,,In-Person,"Deerfield, IL",0,0
Data Scientist II,Net2Source,114400 - 120640,In-Person,"Los Angeles, CA",114400,120640
Data Scientist / Analyst,Kforce,72800 - 93600,In-Person,"Juno Beach, FL",72800,93600
Data Scientist,Hire IT people,120640,In-Person,"Bentonville, AR",120640,120640
Data Scientist,Parafin,150000 - 175000 ,In-Person,"San Francisco, CA",150000,175000
IT Data Scientist,System One,110000 - 125000 ,In-Person,"Topeka, KS",110000,125000
Senior Data Scientist,EarthOptics,99400 - 167000 ,Remote,"Arlington, VA",99400,167000
Data Scientist,Fabrx Space,154962 - 165538 ,Remote,Remote,154962,165538
Data Scientist (Marketing),Penn Foster Group,Full-time,Remote,Remote,0,0
Junior Data Scientist,OGC Global,Full-time,Remote,Remote,0,0
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN",113900,188000
Data Scientist - Pricing,Hertz,68000 ,In-Person,"Estero, FL",68000,68000
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN",113900,188000
Data Scientist,VivusTech,,In-Person,"Chantilly, VA",0,0
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote,110000,113000
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
"Manager, Rapid Data Labs, Research IT Data Engineering",Bristol Myers Squibb,,In-Person,"Princeton, NJ",0,0
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN",113900,188000
Data Scientist,VivusTech,,In-Person,"Chantilly, VA",0,0
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote,110000,113000
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Fabrx Space,154962 - 165538 ,Remote,Remote,154962,165538
Data Scientist (Marketing),Penn Foster Group,Full-time,Remote,Remote,0,0
Junior Data Scientist,OGC Global,Full-time,Remote,Remote,0,0
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Statistical Programmer Contractor,Joule,139360 - 166400,In-Person,"Tarrytown, NY",139360,166400
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN",113900,188000
Data Scientist,VivusTech,,In-Person,"Chantilly, VA",0,0
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Senior Statistical Programmer - FSP,PHASTAR,Full-time,Remote,Remote,0,0
"Sr Distinguished Engineer, Generative AI Systems - (Remote- Eligible)",Capital One,Full-time,Remote,"Chicago, IL",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote,110000,113000
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Senior Machine Learning Engineer,Capital One,Full-time,In-Person,"Richmond, VA",0,0
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist (Marketing),Penn Foster Group,Full-time,Remote,Remote,0,0
Junior Data Scientist,OGC Global,Full-time,Remote,Remote,0,0
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN",113900,188000
Data Scientist,VivusTech,,In-Person,"Chantilly, VA",0,0
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote,110000,113000
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
"Director, Data Product Manager – Clinical Ops & Real-World Evidence",Bristol Myers Squibb,,Hybrid,"Princeton, NJ",0,0
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
